                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.88375,                 1.6357,                 1.5007,                0.66728,                0.74606,                0.82119,                0.63051,                 1.0283,                 1.1694,                 1.7149,             0.00022751,             0.00022751,             0.00022751
                     35,                0.88884,                 1.6157,                 1.5051,                0.68761,                0.75004,                0.81306,                0.61886,                 1.0744,                 1.2188,                  1.744,             0.00022421,             0.00022421,             0.00022421
                     36,                0.89107,                 1.6525,                 1.5127,                0.66647,                0.75811,                0.83662,                0.62339,                 1.0696,                 1.1029,                  1.748,             0.00022091,             0.00022091,             0.00022091
                     37,                0.87063,                 1.5909,                 1.4861,                 0.6985,                0.76672,                 0.8346,                0.66025,                0.96074,                 1.0815,                 1.6405,             0.00021762,             0.00021762,             0.00021762
                     38,                0.85432,                 1.5305,                 1.4702,                 0.6894,                0.77729,                0.84059,                0.64691,                 1.0016,                 1.0428,                 1.7021,             0.00021432,             0.00021432,             0.00021432
                     39,                  0.851,                 1.5015,                  1.452,                0.69131,                0.80934,                0.88454,                0.67065,                 1.0169,                 1.0107,                 1.6899,             0.00021102,             0.00021102,             0.00021102
                     40,                0.85937,                 1.4737,                 1.4751,                0.66621,                0.81717,                0.87811,                0.67206,                 1.0451,                0.96207,                 1.6936,             0.00020773,             0.00020773,             0.00020773
                     41,                0.83544,                   1.47,                  1.452,                0.74833,                0.76041,                0.85676,                 0.7015,                0.86703,                  0.989,                  1.499,             0.00020443,             0.00020443,             0.00020443
                     42,                0.86466,                 1.4835,                 1.4825,                0.86812,                0.76845,                0.88268,                0.69309,                 1.0017,                0.90485,                 1.6424,             0.00020113,             0.00020113,             0.00020113
                     43,                0.82329,                 1.3961,                 1.4357,                0.84924,                0.75853,                0.87402,                0.69839,                0.94719,                0.92099,                 1.5651,             0.00019784,             0.00019784,             0.00019784
                     44,                0.81465,                 1.3699,                 1.4278,                0.73059,                0.83621,                0.88706,                0.71743,                0.93281,                0.94765,                 1.5755,             0.00019454,             0.00019454,             0.00019454
                     45,                0.81247,                 1.3609,                 1.4171,                0.84749,                0.81168,                0.91082,                0.73188,                0.88385,                0.77484,                 1.5144,             0.00019124,             0.00019124,             0.00019124
                     46,                0.81838,                  1.337,                 1.4311,                 0.8362,                0.73313,                0.88297,                0.72093,                0.85049,                0.89601,                 1.4758,             0.00018795,             0.00018795,             0.00018795
                     47,                0.82001,                 1.3039,                 1.4229,                0.74504,                0.79866,                0.88556,                0.67817,                 1.0323,                0.94836,                 1.6899,             0.00018465,             0.00018465,             0.00018465
                     48,                0.79879,                 1.2792,                  1.417,                0.84812,                0.79021,                0.92739,                0.73037,                0.99339,                0.83827,                 1.6391,             0.00018135,             0.00018135,             0.00018135
                     49,                0.80173,                 1.2872,                 1.4121,                0.81242,                 0.8104,                0.89326,                0.70759,                0.93096,                0.84336,                  1.538,             0.00017806,             0.00017806,             0.00017806
                     50,                0.77735,                 1.2595,                 1.3918,                0.85603,                0.84178,                0.90977,                0.75178,                0.77203,                0.77107,                  1.419,             0.00017476,             0.00017476,             0.00017476
                     51,                0.78523,                 1.2456,                 1.3991,                0.79522,                0.86819,                0.89806,                0.69335,                 1.0005,                0.84601,                 1.6595,             0.00017146,             0.00017146,             0.00017146
                     52,                0.77265,                 1.2505,                 1.3941,                0.81893,                0.84603,                0.90236,                0.69975,                0.98619,                 0.8299,                  1.665,             0.00016817,             0.00016817,             0.00016817
                     53,                0.76263,                 1.2134,                 1.3818,                0.88064,                0.83542,                 0.9244,                0.73866,                 0.9056,                0.73832,                 1.5486,             0.00016487,             0.00016487,             0.00016487
                     54,                0.77594,                 1.1682,                 1.3908,                0.89069,                0.78916,                0.92076,                0.72774,                0.93058,                0.79506,                 1.5825,             0.00016157,             0.00016157,             0.00016157
                     55,                0.76675,                 1.1916,                  1.378,                0.85969,                0.79577,                0.91185,                 0.7458,                0.86573,                0.77896,                 1.4948,             0.00015827,             0.00015827,             0.00015827
                     56,                0.74972,                  1.156,                 1.3662,                0.82868,                0.84985,                0.91826,                0.71596,                0.96498,                0.77126,                 1.6632,             0.00015498,             0.00015498,             0.00015498
                     57,                0.75272,                 1.1742,                 1.3655,                0.79891,                0.86922,                0.93435,                0.74348,                0.94701,                0.73685,                 1.5965,             0.00015168,             0.00015168,             0.00015168
                     58,                0.75725,                 1.1322,                 1.3711,                0.87857,                0.83073,                0.92553,                0.77507,                0.77154,                0.69226,                 1.3924,             0.00014838,             0.00014838,             0.00014838
                     59,                0.74812,                 1.1135,                 1.3623,                0.83584,                0.85747,                0.93502,                0.75805,                0.88591,                0.68986,                 1.5098,             0.00014509,             0.00014509,             0.00014509
                     60,                0.72127,                 1.0805,                 1.3353,                0.82123,                0.83762,                0.93817,                0.72112,                 1.0114,                 0.7378,                 1.6838,             0.00014179,             0.00014179,             0.00014179
                     61,                0.73793,                 1.0859,                  1.357,                0.86519,                0.84093,                0.91949,                0.70799,                 1.0191,                0.74083,                  1.697,             0.00013849,             0.00013849,             0.00013849
                     62,                0.72316,                 1.0696,                 1.3506,                 0.8595,                0.86906,                0.93604,                0.76564,                0.86538,                0.68757,                 1.4858,              0.0001352,              0.0001352,              0.0001352
                     63,                0.74108,                 1.0807,                 1.3581,                0.87785,                0.88724,                0.94021,                0.75881,                0.87047,                0.62973,                 1.5237,              0.0001319,              0.0001319,              0.0001319
                     64,                0.71117,                  1.029,                 1.3319,                0.88841,                0.84474,                0.94494,                0.77089,                0.87021,                0.65483,                 1.5172,              0.0001286,              0.0001286,              0.0001286
                     65,                0.69833,                  1.006,                 1.3172,                0.88811,                0.83048,                 0.9401,                0.73622,                0.99138,                0.70879,                 1.6536,             0.00012531,             0.00012531,             0.00012531
                     66,                 0.6872,                0.99907,                 1.3129,                0.87333,                0.87234,                0.92077,                0.73169,                0.94119,                0.66532,                 1.6048,             0.00012201,             0.00012201,             0.00012201
                     67,                 0.6868,                0.97909,                 1.3109,                0.84499,                0.85275,                0.93296,                0.73208,                 0.9738,                0.67295,                 1.6357,             0.00011871,             0.00011871,             0.00011871
                     68,                0.70045,                0.98302,                 1.3193,                0.90817,                0.86927,                0.94885,                0.72901,                 1.0286,                0.66361,                 1.7674,             0.00011542,             0.00011542,             0.00011542
                     69,                 0.6943,                0.99605,                 1.3231,                0.90889,                0.83709,                0.93882,                0.77331,                0.80045,                0.64606,                 1.4632,             0.00011212,             0.00011212,             0.00011212
                     70,                0.67965,                0.98539,                 1.3051,                0.92696,                0.85027,                 0.9467,                0.76486,                0.89842,                 0.6157,                 1.5525,             0.00010882,             0.00010882,             0.00010882
                     71,                0.68791,                0.96333,                 1.3126,                 0.8895,                 0.8249,                0.93632,                0.73764,                0.94522,                0.66685,                 1.6192,             0.00010553,             0.00010553,             0.00010553
                     72,                0.68551,                0.95339,                  1.315,                0.89854,                0.85655,                0.93511,                0.75853,                0.87724,                0.65016,                 1.5089,             0.00010223,             0.00010223,             0.00010223
                     73,                 0.6782,                 0.9619,                 1.3031,                0.86169,                0.83975,                0.93493,                0.76568,                0.83938,                0.61275,                  1.472,             9.8934e-05,             9.8934e-05,             9.8934e-05
                     74,                0.67901,                0.93487,                 1.3033,                0.90353,                0.86489,                 0.9448,                0.75543,                0.92478,                0.58894,                 1.6126,             9.5638e-05,             9.5638e-05,             9.5638e-05
                     75,                0.65466,                0.90376,                 1.2835,                0.86361,                0.86851,                0.93211,                0.76054,                0.85001,                0.63519,                  1.515,             9.2341e-05,             9.2341e-05,             9.2341e-05
                     76,                0.66684,                0.88476,                 1.2909,                0.85829,                0.86252,                0.93162,                0.74884,                0.87468,                0.64252,                  1.521,             8.9044e-05,             8.9044e-05,             8.9044e-05
                     77,                 0.6535,                0.88019,                 1.2786,                0.87931,                0.87363,                0.93989,                0.74519,                0.94786,                0.61652,                 1.6451,             8.5748e-05,             8.5748e-05,             8.5748e-05
                     78,                0.64852,                0.86784,                 1.2747,                0.91899,                0.86291,                 0.9347,                0.75666,                0.89333,                0.60235,                 1.5535,             8.2451e-05,             8.2451e-05,             8.2451e-05
                     79,                0.64747,                0.89694,                 1.2821,                0.88078,                0.85105,                0.93759,                0.75986,                0.90259,                0.63812,                 1.5658,             7.9154e-05,             7.9154e-05,             7.9154e-05
                     80,                0.64318,                0.85833,                 1.2722,                 0.8797,                0.87458,                0.93934,                0.75903,                0.93755,                0.61723,                 1.6223,             7.5857e-05,             7.5857e-05,             7.5857e-05
                     81,                0.62232,                0.84838,                 1.2556,                0.87601,                0.87568,                0.94142,                0.76596,                0.91352,                0.59822,                 1.5958,             7.2561e-05,             7.2561e-05,             7.2561e-05
                     82,                0.62487,                  0.834,                 1.2552,                 0.8754,                0.87075,                0.92265,                0.74313,                0.93334,                0.68302,                 1.6359,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     83,                0.62844,                0.83071,                 1.2577,                0.90505,                0.85829,                0.93842,                0.74927,                0.93941,                0.61092,                 1.6418,             6.5967e-05,             6.5967e-05,             6.5967e-05
